providence.svg,PROV.svg
portland-state.svg,PRST.svg
penn-state.svg,PSU.svg
purdue.svg,PUR.svg
quinnipiac.svg,QUIN.svg
radford.svg,RAD.svg
rice.svg,RICE.svg
richmond.svg,RICH.svg
rider.svg,RID.svg
robert-morris.svg,RMU.svg
rutgers.svg,RUTG.svg
sacramento-state.svg,SAC.svg
samford.svg,SAM.svg
st.-bonaventure.svg,SBON.svg
south-carolina.svg,SCAR.svg
south-carolina-state.svg,SCST.svg
santa-clara.svg,SCU.svg
south-dakota.svg,SDAK.svg
south-dakota-state.svg,SDST.svg
san-diego-state.svg,SDSU.svg
seattle.svg,SEA.svg
southeast-missouri-state.svg,SEMO.svg
san-francisco.svg,SF.svg
stephen-f.-austin.svg,SFA.svg
st.-francis-(bkn).svg,SFNY.svg
st.-francis-(pa).svg,SFPA.svg
sam-houston-state.svg,SHSU.svg
sacred-heart.svg,SHU.svg
siena.svg,SIE.svg
southern-illinois.svg,SIU.svg
san-jose-state.svg,SJSU.svg
st.-john's.svg,SJU.svg
saint-louis.svg,SLU.svg
saint-mary's.svg,SMC.svg
smu.svg,SMU.svg
saint-peter's.svg,SPC.svg
stanford.svg,STAN.svg
stetson.svg,STET.svg
stony-brook.svg,STON.svg
southern-utah.svg,SUU.svg
syracuse.svg,SYR.svg
tcu.svg,TCU.svg
temple.svg,TEM.svg
tennessee.svg,TENN.svg
texas.svg,TEX.svg
tulsa.svg,TLSA.svg
tennessee-state.svg,TNST.svg
tennessee-tech.svg,TNTC.svg
toledo.svg,TOL.svg
towson.svg,TOWS.svg
troy.svg,TROY.svg
texas-tech.svg,TTU.svg
tulane.svg,TULN.svg
texas-am.svg,TXAM.svg
texas-southern.svg,TXSO.svg
texas-state.svg,TXST.svg
uab.svg,UAB.svg
arkansas-little-rock.svg,UALR.svg
uc-davis.svg,UCD.svg
ucf.svg,UCF.svg
uc-irvine.svg,UCI.svg
ucla.svg,UCLA.svg
uc-riverside.svg,UCRV.svg
uc-santa-barbara.svg,UCSB.svg
georgia.svg,UGA.svg
illinois-chicago.svg,UIC.svg
kentucky.svg,UK.svg
louisiana-lafayette.svg,ULL.svg
louisiana-monroe.svg,ULM.svg
umbc.svg,UMBC.svg
kansas-city.svg,UMKC.svg
north-carolina.svg,UNC.svg
unc-asheville.svg,UNCA.svg
unc-greensboro.svg,UNCG.svg
northern-colorado.svg,UNCO.svg
north-dakota.svg,UND.svg
north-florida.svg,UNF.svg
new-hampshire.svg,UNH.svg
northern-iowa.svg,UNI.svg
unlv.svg,UNLV.svg
new-mexico.svg,UNM.svg
new-orleans.svg,UNO.svg
north-texas.svg,UNT.svg
rhode-island.svg,URI.svg
south-alabama.svg,USA.svg
usc.svg,USC.svg
san-diego.svg,USD.svg
south-florida.svg,USF.svg
southern-miss.svg,USM.svg
st.-thomas-(mn).svg,UST.svg
utah-state.svg,USU.svg
texas-arlington.svg,UTA.svg
utah.svg,UTAH.svg
utep.svg,UTEP.svg
utsa.svg,UTSA.svg
virginia.svg,UVA.svg
vermont.svg,UVM.svg
utah-valley.svg,UVU.svg
valparaiso.svg,VALP.svg
vanderbilt.svg,VAN.svg
virginia-commonwealth.svg,VCU.svg
villanova.svg,VILL.svg
virginia-tech.svg,VT.svg
wagner.svg,WAG.svg
wake-forest.svg,WAKE.svg
washington.svg,WASH.svg
western-carolina.svg,WCU.svg
weber-state.svg,WEB.svg
wichita-state.svg,WICH.svg
wisconsin.svg,WIS.svg
western-illinois.svg,WIU.svg
western-kentucky.svg,WKU.svg
william--mary.svg,WM.svg
western-michigan.svg,WMU.svg
wofford.svg,WOF.svg
wright-state.svg,WRST.svg
washington-state.svg,WSU.svg
west-virginia.svg,WVU.svg
wyoming.svg,WYO.svg
xavier.svg,XAV.svg
yale.svg,YALE.svg
youngstown-state.svg,YSU.svg
